,uID,Verb,Embedding,Context,Target,Prompt,ModalType,MatTense,MatSubjLemma,MatSubjPer,MatSubjNum,Embedding,genre,factive,mean.noTarget,sd.noTarget,Mean,SD,Reponses
101,BNC-1228,think,modal,"Harrison knew many of the wrestlers and the rest of the morning passed pleasantly enough as he moved around the quacks and the pedlars, tinkers and gypsies and show people who were an enjoyable contrast to the farmers ' wives selling their freshly imprinted butter, with their buckets of eggs, the vegetables and poultry, rabbits, game pies, potted char, rum butter. A few of the men had taken a rare day off from the quarries and the recognitions were more generous than Harrison had anticipated.",He suspected that they might think he had used the incident of the bad teeth and the convenience of a farming father to bolt from that tough and dirty job.,Harrison had used the incident of the bad teeth and the convenience of a farming father to bolt from that tough and dirty job,EP,past,they,third,plural,modal,BNC,no,0.1,1.286683938,0,1.118033989,"-2, 1, 1, -1, 0, -1, 1, 0, 1"
102,BNC-1229,think,modal,"His reaction on seeing them was a surprise to himself, and a shock to them. He soared higher to lure them up and then folding his wings back stooped down towards them, gaining speed with each second and transfixing the weakest-looking one with his stare.",Perhaps the hooded crows thought it was a game perhaps they misjudged his skill and speed.,it was a game,EP,present,crow,third,plural,modal,BNC,no,-0.6,1.505545305,-0.666666667,1.658312395,"1, -2, -3, 1, 0, 1, -1, -3, 0"
103,BNC-1236,think,modal,Those people... Not a one of them realized I was not human. They looked at me and they pretend I'm someone called Franz Kafka.,Maybe they really thought I was Franz Kafka.,he was Franz Kafka,EP,present,they,third,plural,modal,BNC,no,-1.416666667,1.928651594,-2.125,1.726888201,"-3, -3, -3, -3, -2, -2, 2, -3"
104,BNC-1240,think,modal,How Robert (at Marlborough) patronizes him now. He never talked to me about them.,Perhaps he secretly thinks I belong to the same world.,he belongs to the same world,EP,present,he,third,singular,modal,BNC,no,0.833333333,1.99240984,-0.777777778,0.971825316,"-3, 0, 0, 0, -1, -1, 0, -1, -1"
105,BNC-1242,think,modal,"He had been almost tempted to buy some from her at a discount until he remembered her prices. Highgate Cemetery was more or less on his way to the theatre, and although it was almost all old graves without flowers, he had seen some being left regularly by some nutty Communist at the grave of Karl Marx.",The woman would probably think it was kids who had stolen them.,it was kids who had stolen the flowers,EP,future,woman,third,singular,modal,BNC,no,-0.111111111,1.452966315,-0.333333333,2.061552813,"-3, 2, 1, 1, 1, -3, -3, 0, 1"
106,BNC-1246,think,modal,"Even Pedro, pattering nervily about the room, seemed more restless than usual, and when he slept his dreams were troubled. Gradually Louisa began to wonder whether her father had been right after all, whether she had been as unwise as he claimed to shut herself away in this sequestered place.",At moments when her concentration was disturbed when dusk came too soon and its shadows flittered dismally about the room almost she might think she was afraid.,Louisa was afraid,CI,present,she,third,singular,modal,BNC,no,1.272727273,1.190874392,1.25,1.035098339,"1, 2, 1, 1, 2, 3, 0, 0"
107,BNC-1252,think,modal,"He's weird enough to have undressed me without thinking, according to some mad notion of the ``proper'' thing to do.",Perhaps he thought I couldn't lie in bed with my clothes on.,she couldn't lie in bed with her clothes on,EP,past,he,third,singular,modal,BNC,no,-0.25,1.484771179,-1.875,1.457737974,"-1, 1, -3, -2, -3, -3, -1, -3"
108,BNC-1253,think,modal,It was mainly to make a good impression on the new tribe. Little Krishna ran off into the jungle.,Perhaps the little idiot thought I was going to shoot him as well.,she was going to shoot little Krishna as well,EP,present,idiot,third,singular,modal,BNC,no,-0.444444444,1.130388331,-0.777777778,1.301708279,"-3, 0, 0, 0, -1, 0, 0, 0, -3"
109,BNC-1254,think,modal,"Isabel watched him vanish beneath the barbican and felt as though she had been abandoned to face the enemy without weapons or protection. The shield of cold indifference, the sword of anger, had both been snatched from her by Ralf's warning.",Instead of worrying about what fitzAlan might do to her after her last defiant outburst she could only think that he might be in danger.,fitzAlan might be in danger,AB,present,she,third,singular,modal,BNC,no,0.6,1.264911064,1.25,1.281739889,"1, 2, 1, 2, 0, 3, -1, 2"
110,BNC-1256,think,modal,"Lewis, sensibly, had allowed himself a lot of time. Adam would be very surprised to see him.",He would probably think something had happened to his mother and that Lewis was there as the bearer of bad news.,something had happened to Adam's mother,EP,future,he,third,singular,modal,BNC,no,-0.3,1.702938637,-0.444444444,1.740051085,"2, 1, -3, 0, 1, -1, 0, -3, -1"
111,BNC-1257,think,modal,"``I 'd have done it long ago. Now, give me some beer, and don't poison it.''",It was said as a joke but if the man had seen the evil look on Fagin's face he might have thought the warning was a necessary one.,the warning was a necessary one,EP,past,he,third,singular,modal,BNC,no,-0.636363636,1.433368569,-0.111111111,2.02758751,"-2, -2, -1, 2, 0, 1, 3, -3, 1"
112,BNC-1259,think,modal,"I felt I had to make him happy after all the sad things which had happened to him, so I told him his English was very good. It was just average really.",I wonder whether he thought it was just the way the English talked or whether he thought I was peculiar... Yes I suppose you're right he probably thought I was just a harmless English eccentric!,she was just a harmless English eccentric,EP,past,he,third,singular,modal,BNC,no,0.363636364,1.501514387,0.222222222,1.715938357,"-1, -2, -1, 0, 2, 3, 0, 2, -1"
113,BNC-1264,think,modal,"But I still wasn't sure why. Perhaps it was Nassim's mention of the baby that sparked me off, however subconsciously.",Perhaps I thought that if it was Billy's kid then somebody had to tell Lucy the bad news and if she was skipping probation it had better not be the cops.,if it was Billy's kid then somebody had to tell Lucy the bad news,EP,past,I,first,singular,modal,BNC,no,0.181818182,0.750757194,1.444444444,1.013793755,"0, 2, 2, 1, 2, 2, 0, 3, 1"
114,BNC-1273,think,modal,Then I knew what had happened. He didn't have to tell me the rest.,I suppose I could have thought from the little he 'd said up until then that my half-brother was dead or ill or that something had happened to him but I knew then it was something Eric had done and there was only one thing he could have done which would make my father look worried.,her half-brother was dead or ill or something had happened to him,EP,past,I,first,singular,modal,BNC,no,1.5,1.243163121,0.222222222,1.986062548,"1, -3, 0, 2, -2, 3, 2, -1, 0"
115,BNC-1277,think,modal,"Then a man at the back of the hall began to clap, and someone else joined in. Soon the clapping became fierce applause.",Such was the enthusiasm that you might have thought that the Collector had just sung an aria.,the Collector had just sung an aria,CI,present,you,second,unknown,modal,BNC,no,1.25,1.215431087,-1.125,1.959409532,"-2, -1, -3, -2, -3, 0, 3, -1"
116,BNC-128,know,conditional,``But it could have been a big jet. Maybe hundreds of passengers.'',If Andropulos knew it wasn't a jet carrying hundreds of passengers his face wasn't saying so.,it wasn't a jet carrying hundreds of passengers,,present,Andropulos,third,singular,conditional,BNC,yes,-0.272727273,1.420627262,0.375,1.407885953,"0, 2, 0, 1, 2, -1, -2, 1"
117,BNC-1283,think,modal,"The guy with her I 'd never seen before. He was shortish and wiry, had a straight thin moustache and I guessed he was anywhere between 40 and 45.",If you couldn't see that they were outside a Registry Office you might have thought it was a man out shopping with his daughter.,the guy was a man out shopping with his daughter,,present,you,second,unknown,modal,BNC,no,0.5,1.314257481,-0.555555556,2.45515331,"1, 3, -2, 3, -1, -3, 0, -3, -3"
118,BNC-1285,think,modal,"No, my dear, you are just as tired as I am, and I shall rest presently in the dressing-room where I have made up a bed for myself. If I leave the door open I shall be able to hear him if his condition worsens.",To hear these ``my dears'' being so liberally dispensed you might have thought that the two girls had become bosom friends.,the two girls had become bosom friends,CI,present,you,second,unknown,modal,BNC,no,0.454545455,1.439696938,-0.222222222,1.092906421,"0, 0, -2, 0, 0, -1, 2, -1, 0"
119,BNC-1291,think,modal,The name Northcliffe was linked with raising equity on all five continents but not in such a conspicuous way that he himself garnered personal publicity. I never saw a photograph of him published.,You might have thought these further disclosures would have had a powerful effect on me but of course I was inured to surprise where this man was concerned.,those further disclosures would have had a powerful effect on her,CI,past,you,second,unknown,modal,BNC,no,0.454545455,0.934198733,-1.375,1.922609833,"-3, -3, -1, 2, -2, -3, 1, -2"
120,BNC-1292,think,modal,"The shadow was in the form of a vast spaceship resting near ours, and the last thing it looked was shadowy. The surface was gleaming with pure white and even purer gold.",You might have thought that no meteor shower no space dust had ever touched that brilliance.,no meteor shower no space dust had ever touched that brilliance,CI,present,you,second,unknown,modal,BNC,no,0,1.414213562,0.125,2.167124494,"1, 3, -3, -1, 3, -2, 0, 0"
121,BNC-1294,understand,modal,I looked at the mouth of the mother of the girl whose mouth I couldn't get enough of kissing. I looked and I looked.,But while I saw similarities (the forehead the set of the eyes) while I could understand that other people might take them for mother and daughter it didn't work for me.,other people might take them for mother and daughter,AB,present,I,first,singular,modal,BNC,yes,-0.272727273,1.489356176,0.625,2.133909892,"-3, 0, 2, 2, 3, -2, 2, 1"
122,BNC-1295,understand,modal,"That is to say, I did not take sufficient account of the fact that at that time of the day, what Mr Farraday enjoys is a conversation of a lighthearted, humorous sort. Knowing this to be his likely mood when I brought in the tea yesterday afternoon, and being aware of his general propensity to talk with me in a bantering tone at such moments, it would certainly have been wiser not to have mentioned Miss Kenton at all.",But you will perhaps understand that there was a natural tendency on my part in asking what was after all a generous favour from my employer to hint that there was a good professional motive behind my request.,there was a natural tendency on her part to hint that there was a good professional motive behind her request,EP,future,you,second,unknown,modal,BNC,yes,0.444444444,1.236033081,2.625,0.51754917,"2, 3, 3, 2, 3, 3, 3, 2"
123,BNC-1297,understand,modal,But don't dilly-dally for too long. Once it's published we are all going to look a little risible if we have made no adjustments to what is after all known as being predominantly my own design of gallery.,Also I am a bit older than the rest of you but you can perhaps understand that I don't want to drop dead without a proper and public recantation.,he doesn't want to drop dead without a proper and public recantation,AB,present,you,second,unknown,modal,BNC,yes,0.833333333,1.193416283,2.888888889,0.333333333,"3, 3, 3, 3, 3, 2, 3, 3, 3"
124,BNC-1305,assume,negation,I asked him in for a break. I liked that about him.,He never assumed the kettle was on or that I was free.,the kettle was on,,past,he,third,singular,negation,BNC,no,-0.1,1.286683938,0.076923077,1.60527975,"0, 2, 0, 0, 3, 0, 2, -2, -1, 0, 0, 0, -3"
125,BNC-1309,believe,negation,"Dorothea had once tried to tell her this, but Alida Thorne had flushed with anger. ``Stop patronising me,'' she had shouted, ``stop pitying me!''",The incident had never been referred to again and Dorothea did not believe that Alida would remember it.,Alida would remember the incident,,present,Dorothea,third,singular,negation,BNC,no,1,1.414213562,-1.444444444,1.943650632,"-2, -2, -2, -3, 0, -3, -1, -3, 3"
126,BNC-1315,believe,negation,"``The motor was running earlier, smooth as honey.'' Lissa accepted the comfort of his assurances.",She did not really believe anything untoward was going to happen this afternoon.,something untoward was going to happen this afternoon,,present,she,third,singular,negation,BNC,no,-1.363636364,1.206045378,-1.75,1.752549164,"-3, -3, -2, -1, -1, -3, 2, -3"
127,BNC-1317,believe,negation,``The white man has blood. That is true.'',But the white man does not believe that cattle are payment for taking someone's life.,cattle are payment for taking someone's life,,present,man,third,singular,negation,BNC,no,0.166666667,1.850470866,-2.625,0.51754917,"-2, -3, -3, -3, -3, -3, -2, -2"
128,BNC-1322,believe,negation,Some of them will use their votes judiciously in order to bring about whichever outcome it is they seek. The defeat of the John Major government.,No one of course believes that the Liberal Democrats can do any more than secure a hung parliament - but there is a very real possibility that this may happen and they are therefore a force to be considered.,the Liberal Democrats can do any more than secure a hung parliament,,present,one,third,singular,negation,BNC,no,-0.5,1.507556723,-0.875,1.807721534,"0, -3, 1, 1, -3, -2, 1, -2"
129,BNC-1323,believe,negation,"He's got a bee in his bonnet about keeping them out of remand homes and prison. I'm not against that, but you can't leave young thugs loose to go round terrorising honest folk.",As far as I can make out Deanes doesn't believe that young people should be expected to know the difference between right and wrong.,young people should be expected to know the difference between right and wrong,,present,Deanes,third,singular,negation,BNC,no,0.5,1.690308509,1.111111111,1.691481928,"0, 2, 3, 1, 3, 0, 3, -1, -1"
130,BNC-1324,believe,negation,"Alice asked after her daughter, Mungo's mother, and complained about the price of bread. She spoke of the pain in her hands, neighbours who had passed on, and twice asked Mungo what school he was going to now.",At one stage she somehow got on to the subject of coal and said she simply did not believe it came from wood.,coal came from wood,,past,she,third,singular,negation,BNC,no,-0.545454545,1.213559752,-0.222222222,2.43812314,"2, -2, 3, 0, 3, 0, -2, -3, -3"
131,BNC-1335,believe,negation,"I should dearly have liked to know whether they were Europeans or Americans, but I couldn't hear the accents. They appeared to be arguing.",I hoped the white men weren't telling him to eliminate all witnesses because I don't believe it would have needed much persuasion.,eliminating all witnesses would have needed much persuasion,,present,I,first,singular,negation,BNC,no,-0.777777778,1.092906421,-1.777777778,1.6414763,"-1, -3, -2, -3, -2, 2, -3, -3, -1"
132,BNC-1348,believe,negation,"But the damage was done as far as my faith was concerned, which is probably why I went mad. So anyway, that Christmas Eve night confirmed my worst fears, it was like a kind of ``royal flush'' for the infant Jimbo.",All three kings - Pa Santa and the King of Kings - all down the pan together... And to be honest I don't believe any of them stands a chance of ever making a comeback with me.,any of the three kings stands a chance of ever making a comeback with him,,present,I,first,singular,negation,BNC,no,-1.272727273,1.190874392,-2.555555556,0.527046277,"-3, -3, -2, -2, -2, -3, -3, -2, -3"
133,BNC-1351,believe,negation,"The answer is no, no no. Not now, not ever.",I never believed I could wish anyone dead but last night changed all that.,she could wish anyone dead,,past,I,first,singular,negation,BNC,no,-1.181818182,1.721521526,1.555555556,2.00693243,"3, 3, 0, 2, -3, 3, 2, 3, 1"
134,BNC-1360,convince,negation,"I can't take it. They keep questioning me, always asking where I was what I did why I did it, did all of them where I was who I was with who am I trying to kid why don't I just admit I did it well if I didn't do all these things, who did?",I'm in London I'm in the nick I'm in fucking Paddington Green for Christ's sake the high-security station they use for the Provos and they think I'm so dangerous so much a security risk they've got me here and even holding me under the Prevention of Terrorism Act Jesus God because some of them still aren't convinced they aren't dealing with some unholy alliance of the IRA Welsh Nationalists and uppity jocks.,the police aren't dealing with some unholy alliance of the IRA Welsh Nationalists and uppity jocks,,present,some of them,third,plural,negation,BNC,no,-0.181818182,1.401298099,0.625,1.505940617,"1, 2, 0, -1, -2, 1, 2, 2"
135,BNC-1367,convince,negation,"He had seen something I should have, which was a car turning in from Soho Square and coming up behind me. My right foot hovered over the accelerator pedal and I balanced Armstrong on the clutch.",I wasn't as convinced as Malpass that Nevil was out of harm's way.,Nevil was out of harm's way,,present,I,first,singular,negation,BNC,no,-0.625,1.685018016,-1.333333333,0.707106781,"0, -1, -2, -2, -1, -2, -1, -2, -1"
136,BNC-1373,feel,negation,``Knock once and enter.'' Julia could think of no appropriate reply.,In fact when she came to consider she never felt that there was any reply that she could make to Miss Coldharbour whose remarks frequently had the air of concluding conversations rather than opening them.,there was any reply that Julia could make to Miss Coldharbour,,past,she,third,singular,negation,BNC,no,0.2,2.097617696,-0.555555556,2.833333333,"3, 3, 0, 3, -3, -2, -3, -3, -3"
137,BNC-1374,feel,negation,``What had you in mind to pursue him for?'' ``What you should want to pursue him for might be different from what I would pursue him for.'',The Archdeacon didn't feel he wanted to do any pursuing.,the Archdeacon wanted to do any pursuing,,present,Archdeacon,third,singular,negation,BNC,no,1.363636364,2.01359019,-1.75,1.488047618,"0, 0, -2, -3, 0, -3, -3, -3"
138,BNC-1375,feel,negation,Fenna had become too powerful. Maggie did not want to be a crazy person.,She wanted now at any price to be able to sit in the rooms of young women who could be her friends and not feel that she was travelling in territory stranger than the night caves that were Fenna's home.,Maggie was travelling in territory stranger than the night caves that were Fenna's home,,present,she,third,singular,negation,BNC,no,0.363636364,0.674199862,1.25,1.488047618,"0, 1, 3, 0, -1, 3, 2, 2"
139,BNC-1376,feel,negation,Jed wondered. He 'd scarcely set eyes on him since the night they 'd had dinner together at the house in Westwood.,Nobody had mentioned him either and Jed didn't feel he should ask.,Jed should ask,,past,Jed,third,singular,negation,BNC,no,0.272727273,1.103712743,-1.875,0.991031209,"-3, -2, -2, -3, -2, 0, -1, -2"
140,BNC-1380,feel,negation,"I saw the American woman kiss his hand. So she was an RC, too.",No refreshment was offered not because Monsignor wished to be inhospitable but because he didn't feel it was appropriate to the place and time.,refreshment was appropriate to the place and time,,present,he,third,singular,negation,BNC,no,-0.75,1.38873015,-2.555555556,0.726483157,"-3, -1, -3, -3, -2, -3, -3, -2, -3"
141,BNC-1388,feel,negation,"I have realised all this Quincx. I wouldn't want to embarrass you, but I really can see no alternative at present.",I don't feel I can abandon Crevecoeur after having worked with hir all this time.,she can abandon Crevecoeur after having worked with hir all this time,,present,I,first,singular,negation,BNC,no,0.222222222,0.833333333,-1.555555556,2.068278941,"2, -3, -2, 2, -3, -3, -2, -3, -2"
142,BNC-139,know,conditional,She produced another scroll. ``I have here a petition and I want you all to sign it to show those men in power that the women and children of this country think that slavery is wicked and wrong!'',Sam wondered what Mr Harker would say if he knew that one of his relatives was so keen to disrupt the cotton industry.,one of Mr. Harker's relatives was keen to disrupt the cotton industry,,present,he,third,singular,conditional,BNC,yes,1,1.885618083,1.875,1.246423455,"2, 2, 0, 0, 3, 2, 3, 3"
143,BNC-1399,forget,negation,"Why should a boat be less social than a caravan, for heaven's sake? He 'd never seen Janet drinking out of a can before, either.",But he mustn't forget that it was a great occasion for old Willis who must be getting on for sixty-live ready to take the knock any day now.,it was a great occasion for old Willis,,present,he,third,singular,negation,BNC,yes,0.181818182,0.404519917,2.777777778,0.440958552,"3, 2, 3, 3, 2, 3, 3, 3, 3"
144,BNC-140,know,conditional,Not rhyming is easier than rhyming. I don't mean art should be as clear as the instructions on a packet of seeds.,I'm saying that you trust the mystifier more if you know he's deliberately choosing not to be lucid.,the mystifier is deliberately choosing not to be lucid,,present,you,second,unknown,conditional,BNC,yes,0.375,1.187734939,1.375,1.187734939,"2, 0, 0, 2, 0, 3, 2, 2"
145,BNC-1401,forget,negation,"Then he grilled the result on a flat stone beside the fire. Thus provisioned, he invited Louise to come to the banqueting hall to celebrate her birthday, though in a very quiet way, he assured her.",He had not forgotten that she must still be suffering on account of her father who had only recently taken his last dive down the well in the Residency yard in the wake of so many of his former patients.,Louise must still be suffering on account of her father,,past,he,third,singular,negation,BNC,yes,0.444444444,0.726483157,2,0.816496581,"3, 1, 2, 2, 1, 2, 3, 2, 3, 1"
146,BNC-1404,forget,negation,"It was an extraordinary sensation, floating here in the inky darkness, with moonbeams dancing off the top of the small waves, and the twinkling stars above shining through the moth-eaten blanket of the night sky. It was as if she was all alone - a tiny speck on the ocean, surrounded by a galaxy that seemed to stretch out into infinity.",Despite being caught up in an almost mystical trance Laura had not entirely forgotten that she wasn't the only person swimming in the ocean.,Laura wasn't the only person swimming in the ocean,,present,Laura,third,singular,negation,BNC,yes,0,1.632993162,2.625,1.060660172,"3, 0, 3, 3, 3, 3, 3, 3"
147,BNC-1408,forget,negation,"Yet what good came from knowing that a woman had killed herself? The children who had suffered a trauma would survive the experience, scarred by it and a little flawed by it.",They would never forget that for a week they had imagined the act of murder had been committed.,for a week the children had imagined the act of murder had been committed,,future,they,third,plural,negation,BNC,yes,0,1.195228609,2.2,1.619327707,"3, 2, 1, 3, 3, 3, -2, 3, 3, 3"
148,BNC-141,know,conditional,"Nora calculated that there must be lots of single men up there so she decided it was ideal for the ``manhunt'', as we called it, even though the train fare was a serious consideration. I remember we went up to Euston together one Saturday morning, very excited, to buy the ticket in advance.",It was a secret - if my parents had known she was going away alone they would have soon put the kybosh on it.,Nora was going away alone,,past,parent,third,plural,conditional,BNC,yes,-0.181818182,1.662418829,2.555555556,0.527046277,"3, 3, 3, 2, 2, 3, 2, 3, 2"
149,BNC-1411,forget,negation,``I 've already got money that I 've saved from Grye's winnings.'' Seb did not amplify his statement.,He had not forgotten that Christian disapproved of gambling.,Christian disapproved of gambling,,past,he,third,singular,negation,BNC,yes,-0.363636364,0.674199862,3,0,"3, 3, 3, 3, 3, 3, 3, 3"
150,BNC-1412,forget,negation,"They were baroque symbols reinforcing the lush imagination of the theatre. But the drama on its own wasn't enough, or great performances, or symbols.",They the audience were what mattered for it should never be forgotten that it was their patronage and their applause which truly kept the theatre alive.,it was the audience's patronage and the audience's applause which truly kept the theatre alive,,present,it,third,singular,negation,BNC,yes,-0.2,1.549193338,3,0,"3, 3, 3, 3, 3, 3, 3, 3"
151,BNC-1430,guess,negation,"Melanie, after a while, began to notch off the weeks in her mind by the appearance of the green-banded china, ``Here comes another Sunday.'' And on Monday mornings, she would look at the little bridge on her willow pattern plate and wish she could run across it away from her Uncle Philip's house to where the flowering trees were.",But she did not guess this was how it would be on her first morning.,this was how it would be on Melanie's first morning,,past,she,third,singular,negation,BNC,no,0.090909091,1.578261414,-0.625,1.767766953,"-2, -1, 1, -1, -2, -1, -2, 3"
152,BNC-1431,guess,modal negation,"His mother driving the car, so happy, young-looking and fashionably dressed and his father, a big, confident man in a smart suit, smiling and turning round to say something to Simon in the back seat. Marie thought of her own mother with her frumpy clothes and ageing, lined face.",No one would have guessed that she was only forty-two.,Marie's mother was only forty-two,EP,present,one,third,singular,negation,BNC,no,-0.4,1.712697677,2.125,1.125991626,"3, 1, 2, 3, 2, 3, 3, 0"
153,BNC-1434,guess,negation,"She felt quite shaky. It had happened before, last night and yesterday morning.",She hadn't guessed then that the woman's voice was Timothy Gedge's.,the woman's voice was Timothy Gedge's,,past,she,third,singular,negation,BNC,no,-0.272727273,2.053821272,1.375,2.133909892,"3, -2, 2, 2, 3, 2, -2, 3"
154,BNC-1438,guess,negation,"They stood in silence, while the sun dipped in the west. And Ruth felt she hadn't understood till now what it meant, to be Jake's daughter.",She 'd never guessed that one day he would turn to her like this calling her to understand all the past and set her own strength beside his.,one day Jake would turn to Ruth like this,,past,she,third,singular,negation,BNC,no,0.272727273,1.420627262,0.5,1.603567451,"3, 1, 0, 2, -2, -1, 0, 1"
155,BNC-1443,guess,negation,She was still trying to cope with the matter when Oliver said they ought to leave if they were to meet him as planned. On the way they stopped for Rain to buy a silk scarf which complemented her blouse.,No one would have guessed she was wearing it for any other reason.,Rain was wearing a silk scarf for any other reason,,past,one,third,singular,negation,BNC,no,-0.9,1.595131482,0.444444444,2.505549396,"-3, -3, 2, 3, 2, -2, 2, 0, 3"
156,BNC-1449,guess,negation,"I want to look dark and menacing. The way I ought to look, the way I should look, the way I might have looked if I hadn't had my little accident.",Looking at me you 'd never guess I 'd killed three people.,she had killed three people,,present,you,second,unknown,negation,BNC,no,0.333333333,1.414213562,2.5,1.069044968,"3, 3, 2, 3, 3, 0, 3, 3"
157,BNC-1450,guess,negation,The English read: It is forbidden to cross the Toacks. That summer I came to know the Toacks - with their roots hooked under the earth's crust.,On the right side of them you'd never guess they even existed but from where I was they were too deep to fathom and too tall to cross.,the Toacks even existed,,present,you,second,unknown,negation,BNC,no,2.3,1.059349905,2.333333333,1,"3, 2, 3, 3, 2, 0, 3, 3, 2"
158,BNC-1453,hear,negation,The kind of questions Benny never thought to ask but was always interested in the answers. She had never known that her parents met at a tennis party in a county far away.,She had never heard that Father had been apprenticed to another business in the town of Ballylee.,Father had been apprenticed to another business in the town of Ballylee,,past,she,third,singular,negation,BNC,no,0,0.447213595,0.375,1.846811925,"0, 1, 3, 0, -3, -1, 1, 2"
159,BNC-1458,hope,negation,``I hope you are settling down and the cat is well.'' This was a lie.,She did not hope the cat was well.,the cat was well,,past,she,third,singular,negation,BNC,no,-1.25,1.164964745,-0.333333333,1,"0, 0, 0, -3, 0, 0, 0, 0, 0"
160,BNC-1463,imagine,negation,"She wanted to run her fingers through his hair, wanted to nuzzle her nose and chin into his neck, wanted to know the texture of his cheek and jaw, wanted to kiss him so that her lips never forgot the shape of his. Then she found she was doing all this already, and a sigh of utter contentment shivered through her.",She had never imagined that a kiss could feel like this that a man's arms could enclose and shield her so thoroughly against any other awareness that her body would respond so passionately and so completely from the roots of her hair to the backs of her knees.,a kiss could feel like this,,past,she,third,singular,negation,BNC,no,1.727272727,1.009049958,1,1.603567451,"2, 2, 0, 2, -2, 0, 1, 3"
161,BNC-1464,imagine,negation,"Why should I think that? It's your first time on a horse, for Pete's sake.",And please don't imagine that I haven't landed on my backside before today.,he hasn't landed on his backside before today,,present,null,second,singular,negation,BNC,no,-0.545454545,1.293339581,-2.25,1.38873015,"-3, -3, -3, 1, -3, -3, -2, -2"
162,BNC-1466,imagine,negation,"``You will see the house, child. You will see where he lived and worked and then we will discuss the future,'' Marguerite said with a finality that left Jenna astonished.",She hadn't imagined that this woman could be at all assertive but she was being exactly that now and Alain had so far said nothing at all.,Marguerite could be at all assertive,,past,she,third,singular,negation,BNC,no,1.833333333,1.267304465,0,2.32992949,"1, 1, -3, 3, -2, -2, 3, -1"
163,BNC-1467,imagine,negation,Jane ate without pausing. Hunger was an unknown experience.,She had never imagined it could actually hurt.,hunger could actually hurt,,past,she,third,singular,negation,BNC,no,0.545454545,1.694912173,1.333333333,1.870828693,"3, 1, 1, 3, 3, -3, 1, 1, 2"
164,BNC-1468,imagine,negation,"``Don't think I'm going to pluck it and cook it,'' said Betty. ``If you're going to eat it you 'll have to do it all yourself.''",Lydia had not imagined or expected that Betty would touch the pheasant.,Betty would touch the pheasant,,past,Lydia,third,singular,negation,BNC,no,-2.5,1.167748416,-0.333333333,1.732050808,"-2, 2, 2, 1, 0, -3, -1, -1, -1"
165,BNC-1472,imagine,negation,"``You speak calmly, but I know you're suffering.'' ``You are original,'' he said, looking surprised.",He had clearly not imagined that men and women could discuss such deep feelings together.,men and women could discuss such deep feelings together,,past,he,third,singular,negation,BNC,no,0.5,1.623688282,0,1.309307341,"1, -2, 1, 1, 0, -2, 1, 0"
166,BNC-1473,imagine,negation,"Juliet drew in her breath as she gazed at it. She had always imagined Nigel's home to be large, but this was immense!",She never imagined publishers could be as wealthy as this!,publishers could be as wealthy as this,,past,she,third,singular,negation,BNC,no,-0.3,1.494434118,0.222222222,1.986062548,"2, 3, -3, 0, 2, 0, -1, 1, -2"
167,BNC-1474,imagine,negation,"Miss Martindale had had a school, but her rigid ideas and stern manner had frightened the children, and their parents had taken them away. And gradually the school declined, until she had to give it up and retire to end her days in the white cottage with the inevitable cat as her only companion.",Breeze had never imagined that digging was such hard work.,digging was such hard work,,past,Breeze,third,singular,negation,BNC,no,-0.7,1.251665557,2,0.755928946,"2, 1, 2, 2, 1, 2, 3, 3"
168,BNC-1475,imagine,negation,"Had Nigel noticed she 'd left, or hadn't he missed her at all? If he had been aware that she 'd gone, he would probably have assumed that someone else had taken her home.",She didn't imagine he 'd have worried about it.,Nigel would have worried about it,,present,she,third,singular,negation,BNC,no,-0.8,1.542383664,-0.333333333,1.802775638,"0, 3, -2, 0, -2, -1, -2, 2, -1"
169,BNC-149,know,conditional,``You don't need to worry. We're quite adequately chaperoned. Rosa is a woman of strict moral principles.'',If she knows I'm in here she's probably hovering outside the door right now.,he's in here,,present,she,third,singular,conditional,BNC,yes,1.4,1.349897115,2.375,1.060660172,"3, 3, 2, 3, 0, 3, 3, 2"
170,BNC-1498,know,negation,"``He's harmless, quite afraid of me.'' It brought a very visible relaxing of attitudes that quite surprised Maggie.",She didn't know she had it in her but she had felt the need to act.,Maggie had the need to act in her,,past,she,third,singular,negation,BNC,yes,0.181818182,0.603022689,2.125,0.83452296,"3, 1, 1, 2, 2, 3, 2, 3"
171,BNC-1499,know,negation,"For Syl I felt no sympathy, since if he was fool enough to want me he deserved none. In the course of time I would die and then it would all be over.",We went to the theatre and to dinner and I believe I must have talked and as I have said I know I sometimes laughed and I think no one ever knew that I was empty of everything except perhaps madness.,she was empty of everything except perhaps madness,,past,one,third,singular,negation,BNC,yes,1.1,1.523883927,2.875,0.353553391,"3, 3, 3, 3, 3, 2, 3, 3"
172,BNC-15,believe,conditional,"He hadn't recognised the ageing, twisted features of Pat Weaver, as the man on the bike had cycled lazily past. Nor had the CI5 man who was trailing Stone... Minutes before, as Stone had slipped surreptitiously from his house, his furtive movement had been picked up by Dan Monteith, stationed at the front of the house, concealed in a neighbouring garden.",If Stone believed he had slipped quietly away to the phone box he had underestimated - or forgotten - the pursuit abilities of CI5.,Stone had slipped quietly away to the phone box,,past,Stone,third,singular,conditional,BNC,no,0.636363636,1.566698904,-1.5,1.414213562,"-3, -3, 1, -2, 0, -2, -1, -2"
